isco_code,2221,2356,2512,3439,4132,5120,5141,5221,5222,7112,7115,7422,7531,7543,8322,8331,9111,9211,9412
2221,1.0,0.0064,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0289,0.0,0.0,0.0,0.0
2356,0.0064,1.0,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0061,0.0123,0.0,0.0,0.0
2512,0.0,0.0092,1.0,0.0,0.0495,0.0,0.0,0.009,0.0047,0.0,0.0,0.128,0.0,0.0051,0.0,0.0,0.0,0.0,0.0
3439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4132,0.0068,0.0,0.0495,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0
5120,0.0,0.0,0.0,0.0,0.0,1.0,0.0233,0.0225,0.039,0.0,0.0,0.0082,0.0,0.0038,0.0,0.0,0.05,0.0,0.3607
5141,0.0,0.0,0.0,0.0,0.0,0.0233,1.0,0.026,0.0625,0.0488,0.0261,0.0493,0.0137,0.0121,0.0183,0.0,0.0141,0.0,0.029
5221,0.0,0.0,0.009,0.0,0.0,0.0225,0.026,1.0,0.1452,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0137
5222,0.0,0.0,0.0047,0.0,0.0,0.039,0.0625,0.1452,1.0,0.0,0.0,0.018,0.0,0.0041,0.0127,0.0,0.0,0.0,0.0
7112,0.0,0.0,0.0,0.0,0.0,0.0,0.0488,0.0,0.0,1.0,0.2101,0.0339,0.0128,0.0116,0.0057,0.0,0.025,0.0122,0.0125
7115,0.0,0.0,0.0,0.0,0.0,0.0,0.0261,0.0,0.0,0.2101,1.0,0.0362,0.0088,0.0184,0.0206,0.0061,0.0132,0.0065,0.0066
7422,0.0,0.0087,0.128,0.0,0.0,0.0082,0.0493,0.0085,0.018,0.0339,0.0362,1.0,0.02,0.0434,0.0285,0.0169,0.0044,0.0,0.0044
7531,0.0044,0.0,0.0,0.0,0.0,0.0,0.0137,0.0,0.0,0.0128,0.0088,0.02,1.0,0.0157,0.0084,0.0,0.0141,0.0,0.0
7543,0.0,0.0,0.0051,0.0,0.0041,0.0038,0.0121,0.0,0.0041,0.0116,0.0184,0.0434,0.0157,1.0,0.0179,0.0118,0.0041,0.0,0.0
8322,0.0289,0.0061,0.0,0.0,0.0,0.0,0.0183,0.0,0.0127,0.0057,0.0206,0.0285,0.0084,0.0179,1.0,0.2,0.0316,0.0,0.0062
8331,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0169,0.0,0.0118,0.2,1.0,0.0128,0.0,0.0
9111,0.0,0.0,0.0,0.0,0.0,0.05,0.0141,0.0,0.0,0.025,0.0132,0.0044,0.0141,0.0041,0.0316,0.0128,1.0,0.0,0.0806
9211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9412,0.0,0.0,0.0,0.0,0.0,0.3607,0.029,0.0137,0.0,0.0125,0.0066,0.0044,0.0,0.0,0.0062,0.0,0.0806,0.0,1.0
